Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,87113,2022,4,10,29.6,1,N
IDCJAC0010,87113,2022,4,11,20.1,1,N
IDCJAC0010,87113,2022,4,12,18.1,1,N
IDCJAC0010,87113,2022,4,13,20.7,1,N
IDCJAC0010,87113,2022,4,14,25.2,1,N
IDCJAC0010,87113,2022,4,15,28.5,1,N
IDCJAC0010,87113,2022,4,16,25.8,1,N
IDCJAC0010,87113,2022,4,17,30,1,N
IDCJAC0010,87113,2022,4,18,17.4,1,N
IDCJAC0010,87113,2022,4,19,15.1,1,N
IDCJAC0010,87113,2022,4,20,20.1,1,N
IDCJAC0010,87113,2022,4,21,17.1,1,N
IDCJAC0010,87113,2022,4,22,17.6,1,N
IDCJAC0010,87113,2022,4,23,18.1,1,N
IDCJAC0010,87113,2022,4,24,17.9,1,N
IDCJAC0010,87113,2022,4,25,20,1,N
IDCJAC0010,87113,2022,4,26,21,1,N
IDCJAC0010,87113,2022,4,27,21.1,1,N
IDCJAC0010,87113,2022,4,28,22.6,1,N
IDCJAC0010,87113,2022,4,29,20.7,1,N
IDCJAC0010,87113,2022,4,30,17.8,1,N
IDCJAC0010,87113,2022,5,1,19.3,1,N
IDCJAC0010,87113,2022,5,2,21.9,1,N
IDCJAC0010,87113,2022,5,3,21.2,1,N
IDCJAC0010,87113,2022,5,4,16.3,1,N
IDCJAC0010,87113,2022,5,5,14.6,1,Y
IDCJAC0010,87113,2022,5,6,14.4,1,N
IDCJAC0010,87113,2022,5,7,15.4,1,N
IDCJAC0010,87113,2022,5,8,15.4,1,N
IDCJAC0010,87113,2022,5,9,16.4,1,N
IDCJAC0010,87113,2022,5,10,16.4,1,N
IDCJAC0010,87113,2022,5,11,16.5,1,N
IDCJAC0010,87113,2022,5,12,19.9,1,N
IDCJAC0010,87113,2022,5,13,17,1,N
IDCJAC0010,87113,2022,5,14,19.3,1,N
IDCJAC0010,87113,2022,5,15,20.7,1,N
IDCJAC0010,87113,2022,5,16,16.8,1,N
IDCJAC0010,87113,2022,5,17,16,1,N
IDCJAC0010,87113,2022,5,18,15.5,1,N
IDCJAC0010,87113,2022,5,19,14.7,1,N
IDCJAC0010,87113,2022,5,20,14.5,1,N
IDCJAC0010,87113,2022,5,21,15.3,1,N
IDCJAC0010,87113,2022,5,22,12.5,1,N
IDCJAC0010,87113,2022,5,23,14.5,1,N
IDCJAC0010,87113,2022,5,24,16.4,1,N
IDCJAC0010,87113,2022,5,25,19.8,1,N
IDCJAC0010,87113,2022,5,26,17.9,1,N
IDCJAC0010,87113,2022,5,27,16.3,1,N
IDCJAC0010,87113,2022,5,28,15.8,1,N
IDCJAC0010,87113,2022,5,29,15.1,1,N
IDCJAC0010,87113,2022,5,30,10.8,1,N
IDCJAC0010,87113,2022,5,31,9.2,1,N
IDCJAC0010,87113,2022,6,1,12.7,1,Y
IDCJAC0010,87113,2022,6,2,13.4,1,Y
IDCJAC0010,87113,2022,6,3,13.8,1,Y
IDCJAC0010,87113,2022,6,4,15.8,1,Y
IDCJAC0010,87113,2022,6,5,13.7,1,Y
IDCJAC0010,87113,2022,6,6,13.4,1,Y
IDCJAC0010,87113,2022,6,7,12.1,1,Y
IDCJAC0010,87113,2022,6,8,13,1,Y
IDCJAC0010,87113,2022,6,9,14.3,1,Y
IDCJAC0010,87113,2022,6,10,14.5,1,Y
IDCJAC0010,87113,2022,6,11,13.4,1,Y
IDCJAC0010,87113,2022,6,12,13.9,1,Y
IDCJAC0010,87113,2022,6,13,13.4,1,Y
IDCJAC0010,87113,2022,6,14,13.5,1,Y
IDCJAC0010,87113,2022,6,15,15.4,1,Y
IDCJAC0010,87113,2022,6,16,14.8,1,Y
IDCJAC0010,87113,2022,6,17,14.5,1,Y
IDCJAC0010,87113,2022,6,18,15.5,1,Y
IDCJAC0010,87113,2022,6,19,16.4,1,Y
IDCJAC0010,87113,2022,6,20,17.9,1,Y
IDCJAC0010,87113,2022,6,21,15.4,1,Y
IDCJAC0010,87113,2022,6,22,16,1,Y
IDCJAC0010,87113,2022,6,23,16.2,1,Y
IDCJAC0010,87113,2022,6,24,16,1,Y
IDCJAC0010,87113,2022,6,25,16.4,1,Y
IDCJAC0010,87113,2022,6,26,12.5,1,Y
IDCJAC0010,87113,2022,6,27,13.7,1,Y
