Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,81123,2022,4,9,22.5,1,N
IDCJAC0010,81123,2022,4,10,25.7,1,N
IDCJAC0010,81123,2022,4,11,20.8,1,N
IDCJAC0010,81123,2022,4,12,20.1,1,N
IDCJAC0010,81123,2022,4,13,23,1,N
IDCJAC0010,81123,2022,4,14,24.7,1,N
IDCJAC0010,81123,2022,4,15,24.1,1,N
IDCJAC0010,81123,2022,4,16,26.7,1,N
IDCJAC0010,81123,2022,4,17,27.9,1,N
IDCJAC0010,81123,2022,4,18,16.8,1,N
IDCJAC0010,81123,2022,4,19,16,1,N
IDCJAC0010,81123,2022,4,20,19.2,1,N
IDCJAC0010,81123,2022,4,21,16.8,1,N
IDCJAC0010,81123,2022,4,22,18.7,1,N
IDCJAC0010,81123,2022,4,23,21.2,1,N
IDCJAC0010,81123,2022,4,24,21.2,1,N
IDCJAC0010,81123,2022,4,25,21.8,1,N
IDCJAC0010,81123,2022,4,26,20,1,N
IDCJAC0010,81123,2022,4,27,17.2,1,N
IDCJAC0010,81123,2022,4,28,18.3,1,N
IDCJAC0010,81123,2022,4,29,19.5,1,N
IDCJAC0010,81123,2022,4,30,17.2,1,N
IDCJAC0010,81123,2022,5,1,17.9,1,Y
IDCJAC0010,81123,2022,5,2,18.8,1,Y
IDCJAC0010,81123,2022,5,3,19,1,Y
IDCJAC0010,81123,2022,5,4,16.2,1,Y
IDCJAC0010,81123,2022,5,5,13.9,1,Y
IDCJAC0010,81123,2022,5,6,12.6,1,Y
IDCJAC0010,81123,2022,5,7,14.7,1,Y
IDCJAC0010,81123,2022,5,8,14.7,1,Y
IDCJAC0010,81123,2022,5,9,17.6,1,Y
IDCJAC0010,81123,2022,5,10,19.5,1,Y
IDCJAC0010,81123,2022,5,11,18.4,1,Y
IDCJAC0010,81123,2022,5,12,16.3,1,Y
IDCJAC0010,81123,2022,5,13,17.6,1,Y
IDCJAC0010,81123,2022,5,14,16.2,1,Y
IDCJAC0010,81123,2022,5,15,19.3,1,Y
IDCJAC0010,81123,2022,5,16,15.5,1,Y
IDCJAC0010,81123,2022,5,17,12.8,1,Y
IDCJAC0010,81123,2022,5,18,14.3,1,Y
IDCJAC0010,81123,2022,5,19,15.3,1,Y
IDCJAC0010,81123,2022,5,20,14.8,1,Y
IDCJAC0010,81123,2022,5,21,17.5,1,Y
IDCJAC0010,81123,2022,5,22,19.2,1,Y
IDCJAC0010,81123,2022,5,23,18.6,1,Y
IDCJAC0010,81123,2022,5,24,17.8,1,Y
IDCJAC0010,81123,2022,5,25,16.5,1,Y
IDCJAC0010,81123,2022,5,26,14.2,1,Y
IDCJAC0010,81123,2022,5,27,17,1,Y
IDCJAC0010,81123,2022,5,28,14.5,1,Y
IDCJAC0010,81123,2022,5,29,10.5,1,Y
IDCJAC0010,81123,2022,5,30,8.4,1,Y
IDCJAC0010,81123,2022,5,31,10.6,1,Y
IDCJAC0010,81123,2022,6,1,11.8,1,Y
IDCJAC0010,81123,2022,6,2,10.7,1,Y
IDCJAC0010,81123,2022,6,3,10.7,1,Y
IDCJAC0010,81123,2022,6,4,12.5,1,Y
IDCJAC0010,81123,2022,6,5,10.4,1,Y
IDCJAC0010,81123,2022,6,6,11.6,1,Y
IDCJAC0010,81123,2022,6,7,11.6,1,Y
IDCJAC0010,81123,2022,6,8,10.4,1,Y
IDCJAC0010,81123,2022,6,9,12.2,1,Y
IDCJAC0010,81123,2022,6,10,14.2,1,Y
IDCJAC0010,81123,2022,6,11,12.4,1,Y
IDCJAC0010,81123,2022,6,12,13.7,1,Y
IDCJAC0010,81123,2022,6,13,13.4,1,Y
IDCJAC0010,81123,2022,6,14,9.9,1,Y
IDCJAC0010,81123,2022,6,15,11.3,1,Y
IDCJAC0010,81123,2022,6,16,15.4,1,Y
IDCJAC0010,81123,2022,6,17,13.3,1,Y
IDCJAC0010,81123,2022,6,18,15.9,1,Y
IDCJAC0010,81123,2022,6,19,9.9,1,Y
IDCJAC0010,81123,2022,6,20,15.5,1,Y
IDCJAC0010,81123,2022,6,21,14.1,1,Y
IDCJAC0010,81123,2022,6,22,13.5,1,Y
IDCJAC0010,81123,2022,6,23,15.3,1,Y
IDCJAC0010,81123,2022,6,24,15.4,1,Y
IDCJAC0010,81123,2022,6,25,13.1,1,Y
IDCJAC0010,81123,2022,6,26,12.6,1,Y
IDCJAC0010,81123,2022,6,27,11.8,1,Y
IDCJAC0010,81123,2022,6,28,11.8,1,Y
IDCJAC0010,81123,2022,6,29,9.3,1,Y
IDCJAC0010,81123,2022,6,30,13.6,1,Y
IDCJAC0010,81123,2022,7,1,14.3,1,Y
IDCJAC0010,81123,2022,7,2,12.5,1,Y
IDCJAC0010,81123,2022,7,3,13.3,1,Y
IDCJAC0010,81123,2022,7,4,14,1,Y
IDCJAC0010,81123,2022,7,5,14.5,1,Y
IDCJAC0010,81123,2022,7,6,14.9,1,Y
IDCJAC0010,81123,2022,7,7,13,1,Y
IDCJAC0010,81123,2022,7,8,12.5,1,Y
IDCJAC0010,81123,2022,7,9,12.7,1,Y
IDCJAC0010,81123,2022,7,10,14.6,1,Y
IDCJAC0010,81123,2022,7,11,11.5,1,Y
IDCJAC0010,81123,2022,7,12,12.5,1,Y
IDCJAC0010,81123,2022,7,13,13,1,Y
IDCJAC0010,81123,2022,7,14,12.2,1,Y
IDCJAC0010,81123,2022,7,15,12.1,1,Y
IDCJAC0010,81123,2022,7,16,12.6,1,Y
IDCJAC0010,81123,2022,7,17,13.4,1,Y
IDCJAC0010,81123,2022,7,18,11.2,1,Y
IDCJAC0010,81123,2022,7,19,11.1,1,Y
IDCJAC0010,81123,2022,7,20,14.4,1,Y
IDCJAC0010,81123,2022,7,21,15.8,1,Y
IDCJAC0010,81123,2022,7,22,15.6,1,Y
IDCJAC0010,81123,2022,7,23,12.9,1,Y
IDCJAC0010,81123,2022,7,24,16.2,1,Y
IDCJAC0010,81123,2022,7,25,11.7,1,Y
IDCJAC0010,81123,2022,7,26,11.5,1,Y
IDCJAC0010,81123,2022,7,27,14.5,1,Y
IDCJAC0010,81123,2022,7,28,13.4,1,Y
IDCJAC0010,81123,2022,7,29,12.7,1,Y
IDCJAC0010,81123,2022,7,30,11.3,1,Y
IDCJAC0010,81123,2022,7,31,11.7,1,Y
IDCJAC0010,81123,2022,8,1,13,1,Y
IDCJAC0010,81123,2022,8,2,15.1,1,Y
IDCJAC0010,81123,2022,8,3,17.5,1,Y
IDCJAC0010,81123,2022,8,4,16.9,1,Y
IDCJAC0010,81123,2022,8,5,13.1,1,Y
IDCJAC0010,81123,2022,8,6,13.2,1,Y
IDCJAC0010,81123,2022,8,7,14.1,1,Y
IDCJAC0010,81123,2022,8,8,13.8,1,Y
IDCJAC0010,81123,2022,8,9,13.1,1,Y
IDCJAC0010,81123,2022,8,10,11.1,1,Y
IDCJAC0010,81123,2022,8,11,13.4,1,Y
IDCJAC0010,81123,2022,8,12,12,1,Y
IDCJAC0010,81123,2022,8,13,14.7,1,Y
IDCJAC0010,81123,2022,8,14,13.5,1,Y
IDCJAC0010,81123,2022,8,15,14.2,1,Y
IDCJAC0010,81123,2022,8,16,15.6,1,Y
IDCJAC0010,81123,2022,8,17,13.4,1,Y
IDCJAC0010,81123,2022,8,18,12.2,1,Y
IDCJAC0010,81123,2022,8,19,13.9,1,Y
IDCJAC0010,81123,2022,8,20,15.8,1,Y
IDCJAC0010,81123,2022,8,21,13.2,1,Y
IDCJAC0010,81123,2022,8,22,16.4,1,Y
IDCJAC0010,81123,2022,8,23,11.6,1,Y
IDCJAC0010,81123,2022,8,24,11.8,1,Y
IDCJAC0010,81123,2022,8,25,15.8,1,Y
IDCJAC0010,81123,2022,8,26,16.8,1,Y
IDCJAC0010,81123,2022,8,27,17.3,1,Y
IDCJAC0010,81123,2022,8,28,18.6,1,Y
IDCJAC0010,81123,2022,8,29,13.2,1,Y
IDCJAC0010,81123,2022,8,30,14.5,1,Y
IDCJAC0010,81123,2022,8,31,13.9,1,Y
IDCJAC0010,81123,2022,9,1,13.4,1,Y
IDCJAC0010,81123,2022,9,2,12.8,1,Y
IDCJAC0010,81123,2022,9,3,15.3,1,Y
IDCJAC0010,81123,2022,9,4,14.4,1,Y
IDCJAC0010,81123,2022,9,5,15,1,Y
IDCJAC0010,81123,2022,9,6,16,1,Y
IDCJAC0010,81123,2022,9,7,18,1,Y
IDCJAC0010,81123,2022,9,8,13.6,1,Y
IDCJAC0010,81123,2022,9,9,17.9,1,Y
IDCJAC0010,81123,2022,9,10,15.4,1,Y
IDCJAC0010,81123,2022,9,11,13.5,1,Y
IDCJAC0010,81123,2022,9,12,13.9,1,Y
IDCJAC0010,81123,2022,9,13,13.6,1,Y
IDCJAC0010,81123,2022,9,14,15.8,1,Y
IDCJAC0010,81123,2022,9,15,13.1,1,Y
IDCJAC0010,81123,2022,9,16,14.5,1,Y
IDCJAC0010,81123,2022,9,17,12.6,1,Y
IDCJAC0010,81123,2022,9,18,14.9,1,Y
IDCJAC0010,81123,2022,9,19,15.7,1,Y
IDCJAC0010,81123,2022,9,20,17.3,1,Y
